,SATimputed,HSGimputed
728,760.0,1.0
729,759.0,1.0
730,800.0,2.0
731,757.0,1.0
732,727.0,2.0
733,734.0,1.0
734,719.0,2.0
735,756.0,1.0
736,748.0,1.0
737,754.0,1.0
738,728.0,1.0
739,768.0,1.0
740,771.0,1.0
741,705.0,1.0
742,764.0,1.0
743,698.0,2.0
744,766.0,1.0
745,740.0,1.0
746,761.0,1.0
747,761.0,1.0
748,762.0,1.0
749,720.0,1.0
750,740.0,1.0
751,727.0,2.0
752,800.0,1.0
753,780.0,1.0
754,788.0,1.0
755,748.0,1.0
756,780.0,1.0
757,723.0,3.0
758,722.0,2.0
759,779.0,1.0
760,800.0,1.0
761,740.0,2.0
762,760.0,1.0
763,758.0,1.0
764,754.0,1.0
765,757.0,2.0
766,709.0,2.0
767,717.0,3.0
768,730.0,1.0
769,730.0,2.0
770,747.0,1.0
771,751.0,1.0
772,750.0,1.0
773,780.0,1.0
774,753.0,1.0
775,790.0,1.0
776,746.0,3.0
777,790.0,3.0
778,770.0,2.0
779,732.0,2.0
780,720.0,2.0
781,780.0,2.0
782,704.0,2.0
783,758.0,1.0
784,760.0,1.0
785,769.0,1.0
786,690.0,2.0
787,736.0,2.0
788,755.0,1.0
789,737.0,1.0
790,709.0,2.0
791,790.0,1.0
792,780.0,1.0
793,786.0,1.0
794,759.0,1.0
795,620.0,2.0
796,620.0,1.0
797,650.0,2.0
798,770.0,1.0
799,740.0,2.0
800,739.0,2.0
801,729.0,1.0
802,704.0,2.0
803,800.0,1.0
804,743.0,2.0
805,783.0,1.0
806,780.0,2.0
807,780.0,1.0
808,780.0,1.0
809,732.0,2.0
810,610.0,2.0
811,710.0,2.0
812,724.0,2.0
813,760.0,1.0
814,740.0,2.0
815,790.0,2.0
816,740.0,1.0
817,789.0,1.0
818,751.0,1.0
819,800.0,1.0
820,780.0,2.0
821,717.0,2.0
822,730.0,2.0
823,771.0,1.0
824,780.0,2.0
825,760.0,2.0
826,702.0,2.0
827,630.0,2.0
828,700.0,2.0
829,780.0,2.0
830,680.0,2.0
831,685.0,3.0
832,720.0,3.0
833,680.0,1.0
834,790.0,1.0
835,680.0,2.0
836,780.0,1.0
837,727.0,2.0
838,750.0,1.0
839,765.0,1.0
840,725.0,2.0
841,760.0,2.0
842,740.0,1.0
843,800.0,1.0
844,765.0,1.0
845,751.0,2.0
846,780.0,1.0
847,720.0,1.0
848,700.0,2.0
849,725.0,2.0
850,700.0,2.0
851,760.0,1.0
852,760.0,1.0
853,720.0,2.0
854,731.0,2.0
855,790.0,1.0
856,761.0,1.0
857,800.0,2.0
858,760.0,1.0
859,640.0,2.0
860,800.0,1.0
861,740.0,2.0
862,790.0,2.0
863,750.0,1.0
864,768.0,1.0
865,710.0,2.0
866,800.0,1.0
867,800.0,1.0
868,800.0,1.0
869,742.0,2.0
870,680.0,2.0
871,690.0,1.0
872,704.0,2.0
873,770.0,2.0
874,705.0,3.0
875,788.0,1.0
876,736.0,2.0
877,720.0,2.0
878,729.0,1.0
879,723.0,1.0
880,752.0,1.0
881,710.0,2.0
